,Province,City,Street,Neighbourhood,Price,Bed,Bath,Size,room
1722,ON,Toronto,3201-77 Harbour Square,Waterfront Communities C1,2099800.0,2+2,2,1500-2000,6
1723,ON,Toronto,TH4-39 Annie Craig Drive,Mimico,1519900.0,2+1,3,1200-1399,6
1724,ON,Toronto,TH3-39 Annie Craig Drive,Mimico,1349900.0,2+1,3,1000-1199,6
1725,ON,Toronto,1615-19 Bathurst Street,Waterfront Communities C1,729000.0,1,1,500-599,2
1726,ON,Toronto,505-3 Marine Parade Drive W,Mimico,390000.0,1+1,1,700-799,3
1727,ON,Toronto,318-1 Bloor Street E,Church-Yonge Corridor,1189000.0,2,2,800-899,4
1728,ON,Toronto,TH3-51 Paul Lane Gardens,Kensington-Chinatown,2480000.0,3+1,3,2000-2249,7
1729,ON,Toronto,10-12 Dervock Crescent,Bayview Village,1259900.0,2,2,1000-1199,4
1730,ON,Toronto,416-50 Ordnance Street,Niagara,879900.0,2,2,700-799,4
1731,ON,Toronto,1508-825 Church Street,Rosedale-Moore Park,799000.0,1+1,1,600-699,3
1732,ON,Toronto,806-11 Brunel Court,Waterfront Communities C1,735000.0,1+1,1,700-799,3
1733,ON,Toronto,901-80 Cumberland Street,Annex,1338000.0,2,3,1000-1199,5
1734,ON,Toronto,920-1 King Street W,Bay Street Corridor,439000.0,–,1,600-699,1
1735,ON,Toronto,13-260 Finch Avenue E,Newtonbrook East,989000.0,2+1,3,800-899,6
1736,ON,Toronto,601-128 Hazelton Avenue,Annex,6990000.0,3,4,3000-3249,7
1737,ON,Toronto,22-28 Marina Avenue,Long Branch,1199900.0,2,2,1200-1399,4
1738,ON,Toronto,1006-10 Torresdale Avenue,Westminster-Branson,849000.0,2,2,1200-1399,4
1739,ON,Toronto,1018-50 George Butchart Drive,Downsview-Roding-CFB,710000.0,2,2,700-799,4
1740,ON,Toronto,23-28 Marina Avenue,Long Branch,1249000.0,3,3,1400-1599,6
1741,ON,Toronto,5003-180 University Avenue,Bay Street Corridor,3188000.0,2+1,3,1500-2000,6
1742,ON,Toronto,6905-1 Bloor Street E,Church-Yonge Corridor,2488000.0,2+1,3,1600-1799,6
1743,ON,Toronto,308-500 Avenue Road,Casa Loma,1195000.0,2,2,1200-1399,4
1744,ON,Toronto,PARKING-89 Dunfield Avenue,Mount Pleasant West,59000.0,–,–,0-499,0
1745,ON,Toronto,3709-5 St Joseph Street,Bay Street Corridor,999000.0,1+1,1,600-699,3
1746,ON,Toronto,5107-14 York Street,Waterfront Communities C1,675000.0,1+1,1,500-599,3
1747,ON,Toronto,306-170 Chiltern Hill Road,Humewood-Cedarvale,475000.0,–,1,0-499,1
1748,ON,Toronto,4704-88 Scott Street,Church-Yonge Corridor,1548000.0,3,2,1200-1399,5
1749,ON,Toronto,408-492 Eglinton Avenue E,Mount Pleasant East,659000.0,1,1,500-599,2
1750,ON,Toronto,17-2-3100 Keele Street,Downsview-Roding-CFB,549000.0,1+1,1,500-599,3
1751,ON,Toronto,918-251 Manitoba Street,Mimico,700000.0,1+1,1,500-599,3
1752,ON,Toronto,401-3 Marine Parade Drive,Mimico,525000.0,2+1,2,1000-1199,5
1753,ON,Toronto,UPH3-80 John Street,Waterfront Communities C1,2498900.0,2+1,2,2250-2499,5
1754,ON,Toronto,TH2-12 Macpherson Avenue,Annex,2645000.0,2,4,2500-2749,6
1755,ON,Toronto,309-1 Post Road,Bridle Path-Sunnybrook-York Mills,5688000.0,3,4,4000-4249,7
