,Province,City,Street,Neighbourhood,Price,Bed,Bath,Size,room
88,ON,Toronto,232 Gainsborough Road,Woodbine Corridor,1099000.0,3+1,2,,6
89,ON,Toronto,54 Howe Avenue,Clairlea-Birchmount,769900.0,2+1,2,1000-1500,5
90,ON,Toronto,256 Gerrard Street E,Moss Park,2599900.0,8+3,5,3500-5000,16
91,ON,Toronto,56 Mourning Dove Crescent,Malvern,999000.0,3+1,4,,8
92,ON,Toronto,18 Hannaford Street,East End-Danforth,1298888.0,4,2,,6
93,ON,Toronto,115 Perth Avenue,Dovercourt-Wallace Emerson-Junction,1550000.0,3,2,0-0,5
94,ON,Toronto,33 Pringdale Gardens Circle,Eglinton East,989900.0,4+1,3,0-0,8
95,ON,Toronto,117 Coxwell Avenue,Greenwood-Coxwell,748000.0,2,2,,4
96,ON,Toronto,53 Milverton Boulevard,Danforth,999900.0,3,2,,5
97,ON,Toronto,50 Venetian Crescent,Glenfield-Jane Heights,949000.0,3+2,2,,7
98,ON,Toronto,56 Davelayne Road,Humbermede,1049000.0,3+3,2,,8
99,ON,Toronto,50 Venetian Crescent,Glenfield-Jane Heights,949000.0,3+2,2,,7
100,ON,Toronto,126 Brookhaven Drive,Brookhaven-Amesbury,899999.0,3,2,0-0,5
101,ON,Toronto,261 Ontario Street,Moss Park,999000.0,3,2,,5
102,ON,Toronto,115 Harrison Street,Trinity-Bellwoods,1699000.0,3+1,3,0-0,7
103,ON,Toronto,23 Clancy Drive,Don Valley Village,1098000.0,4+1,3,,8
104,ON,Toronto,25 Pretoria Avenue,Playter Estates-Danforth,999999.0,2,2,0-0,4
105,ON,Toronto,38 Red River Crescent,Rouge E11,699999.0,3,2,,5
106,ON,Toronto,116 Red River Crescent,Rouge E11,699000.0,3,2,0-0,5
107,ON,Toronto,60 Hillsdale Avenue W,Yonge-Eglinton,1695000.0,4+1,3,0-0,8
108,ON,Toronto,68 Geary Avenue,Wychwood,2095000.0,–,–,,0
109,ON,Toronto,226 Waverley Road,The Beaches,999000.0,3,3,,6
110,ON,Toronto,96 Marbury Crescent,Parkwoods-Donalda,899000.0,3,2,,5
111,ON,Toronto,109 Bellwoods Avenue,Trinity-Bellwoods,1799000.0,4+2,3,,9
112,ON,Toronto,160 Three Valleys Drive,Parkwoods-Donalda,999000.0,2,2,,4
113,ON,Toronto,320 Kingswood Road,The Beaches,1099000.0,3,1,0-0,4
114,ON,Toronto,95 Kenilworth Avenue S,The Beaches,2499000.0,3+2,3,,8
115,ON,Toronto,27 Mansur Terrace,York University Heights,1249000.0,4+1,4,2000-2500,9
116,ON,Toronto,79 Day Avenue,Corso Italia-Davenport,999000.0,3,2,,5
117,ON,Toronto,6 Whistle Post Street,East End-Danforth,1689000.0,4+1,4,2500-3000,9
118,ON,Toronto,18 Gageview Court,Milliken,888999.0,3,2,1000-1500,5
119,ON,Toronto,48 West Avenue,South Riverdale,1329900.0,4,3,,7
120,ON,Toronto,127 Angus Drive,Don Valley Village,1269000.0,3+2,2,,7
121,ON,Toronto,4 Newbold Ave Avenue,Woodbine Corridor,4500000.0,2+2,13,,17
122,ON,Toronto,3-6 Wellesley Place,North St. James Town,1099000.0,2,3,,5
123,ON,Toronto,158 Springdale Boulevard,Danforth Village-East York,1378000.0,3,2,1000-1500,5
124,ON,Toronto,2942 Lake Shore Boulevard W,New Toronto,1499000.0,1,3,,4
125,ON,Toronto,31 Beatrice Street,Trinity-Bellwoods,2175000.0,5+2,4,3000-3500,11
126,ON,Toronto,26 Tideswell Boulevard,Rouge E11,899000.0,4,3,2000-2500,7
127,ON,Toronto,250 Lippincott Street,University,1649000.0,3,3,1500-2000,6
128,ON,Toronto,53 Garthdale Court,Bathurst Manor,1199000.0,3+1,3,3000-3500,7
129,ON,Toronto,86 Donlands Avenue,Danforth,1129000.0,3+1,3,,7
130,ON,Toronto,366 Mcroberts Avenue,Caledonia-Fairbank,1199000.0,3+1,2,,6
131,ON,Toronto,1067 Davenport Road,Wychwood,897000.0,3+1,3,,7
132,ON,Toronto,20 Sheridan Avenue,Little Portugal,1198000.0,3,2,,5
133,ON,Toronto,468 Symington Avenue,Weston-Pellam Park,1098000.0,3,2,,5
134,ON,Toronto,217 Ellsworth Avenue,Wychwood,1450000.0,3+1,3,,7
135,ON,Toronto,297 Delaware Avenue,Dovercourt-Wallace Emerson-Junction,1399999.0,4,4,,8
136,ON,Toronto,37 Dominion Road,Long Branch,3999000.0,9+4,9,5000+,22
137,ON,Toronto,649 Beresford Avenue,Runnymede-Bloor West Village,2279000.0,3+1,5,2500-3000,9
138,ON,Toronto,32 Trellanock Avenue,Rouge E10,899000.0,3,4,1500-2000,7
139,ON,Toronto,130 Ivy Avenue,South Riverdale,1650000.0,3+1,3,,7
140,ON,Toronto,8 Joseph Salesberg Lane,Niagara,1550000.0,3,2,1500-2000,5
141,ON,Toronto,11 Lowther Avenue,Annex,6295000.0,4+1,6,3500-5000,11
142,ON,Toronto,34 Ostend Avenue,High Park-Swansea,1099000.0,2,2,1000-1500,4
143,ON,Toronto,259 St Helens Avenue,Dufferin Grove,1299900.0,2+1,3,1000-1500,6
144,ON,Toronto,257 St Helens Avenue,Dufferin Grove,999900.0,3,1,1000-1500,4
145,ON,Toronto,199 Shawnee Circle,Pleasant View,999900.0,3+2,2,1500-2000,7
146,ON,Toronto,57 Prescott Avenue,Weston-Pellam Park,999999.0,3,3,,6
147,ON,Toronto,5 Foxwarren Drive,Bayview Village,2280000.0,5+2,4,,11
148,ON,Toronto,85 Earlsdale Avenue,Oakwood-Vaughan,1329000.0,3+1,2,1000-1500,6
149,ON,Toronto,27 Fusilier Drive,Clairlea-Birchmount,999000.0,3,3,1500-2000,6
150,ON,Toronto,15 Rusholme Park Crescent,Little Portugal,1299000.0,3+1,3,,7
151,ON,Toronto,201 Caledonia Road,Corso Italia-Davenport,849000.0,2+1,2,,5
152,ON,Toronto,19 Thomas Mulholland Drive,Downsview-Roding-CFB,999900.0,3,3,1500-2000,6
153,ON,Toronto,2636 Bayview Avenue,St. Andrew-Windfields,2695000.0,4+1,4,3500-5000,9
154,ON,Toronto,201 Hanson Street,Woodbine Corridor,799000.0,1+1,2,,4
